atlas_id,roi_uid,roi_original_index,global_original_column,roi_name,roi_label,description,hemisphere,network,x,y,z,metadata_source,metadata_version,metadata_license,metadata_sha256
HO112,ho112:roi043,43,159,"Lateral Occipital Cortex, superior division (L)",220,cortical,L,,-32.169122098890014,-72.87426841574168,38.01897073662967,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi044,44,160,"Lateral Occipital Cortex, superior division (R)",221,cortical,R,,33.03731343283582,-71.11194029850746,38.98341625207297,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi045,45,161,"Lateral Occipital Cortex, inferior division (L)",230,cortical,L,,-45.18003913894324,-75.61643835616438,-2.0009784735812133,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi046,46,162,"Lateral Occipital Cortex, inferior division (R)",231,cortical,R,,45.61271393643032,-73.99804400977996,-1.6841075794621077,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi047,47,163,Intracalcarine Cortex (L),240,cortical,L,,-10.304278922345489,-74.9635499207607,8.101426307448492,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi048,48,164,Intracalcarine Cortex (R),241,cortical,R,,11.72423025435073,-73.63855421686748,8.3908969210174,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi049,49,165,Frontal Medial Cortex (L),250,cortical,L,,-5.132075471698116,43.542452830188665,-18.339622641509436,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi050,50,166,Frontal Medial Cortex (R),251,cortical,R,,5.202702702702709,43.234234234234236,-18.7027027027027,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi051,51,167,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (L),260,cortical,L,,-5.605015673981185,-2.5673981191222595,56.25705329153604,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi052,52,168,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (R),261,cortical,R,,6.106145251396654,-2.5949720670391088,57.71229050279331,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi053,53,169,Subcallosal Cortex (L),270,cortical,L,,-5.249027237354085,20.661478599221795,-15.062256809338521,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi054,54,170,Subcallosal Cortex (R),271,cortical,R,,5.303643724696357,20.659919028340084,-15.607287449392715,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi055,55,171,Paracingulate Gyrus (L),280,cortical,L,,-6.486526946107787,36.82784431137725,20.880239520958085,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi056,56,172,Paracingulate Gyrus (R),281,cortical,R,,6.743608473338199,36.57852447041637,22.97589481373265,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi057,57,173,"Cingulate Gyrus, anterior division (L)",290,cortical,L,,-4.750750750750754,18.08208208208208,24.644644644644643,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi058,58,174,"Cingulate Gyrus, anterior division (R)",291,cortical,R,,5.412786108918709,18.98658247829519,24.19573796369376,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi059,59,175,"Cingulate Gyrus, posterior division (L)",300,cortical,L,,-5.99211045364892,-37.573964497041416,29.802761341222876,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi060,60,176,"Cingulate Gyrus, posterior division (R)",301,cortical,R,,6.597760551248925,-35.90180878552971,30.093023255813947,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi061,61,177,Precuneous Cortex (L),310,cortical,L,,-7.895076674737695,-59.960451977401135,37.401937046004846,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi062,62,178,Precuneous Cortex (R),311,cortical,R,,8.913245269546593,-58.459835772938234,38.5926454837558,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi063,63,179,Cuneal Cortex (L),320,cortical,L,,-8.474103585657375,-80.29083665338646,27.2390438247012,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi064,64,180,Cuneal Cortex (R),321,cortical,R,,9.026194144838215,-78.54237288135593,28.187981510015405,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
